,Districts,P(H),P(M),P(L)
0,DHUBRI,0.732039928,0.119457426,0.148502646
1,KOKRAJHAR,0.143440742,0.222913691,0.633645567
2,BONGAIGAON,0.078278363,0.301113286,0.620608351
3,GOALPARA,0.201294901,0.168487034,0.630218065
4,BARPETA,0.67151366,0.021089106,0.307397234
5,NALBARI,0.088032018,0.287839412,0.624128569
6,KAMRUP,0.613284508,0.000122914,0.386592579
7,DARRANG,0.154130535,0.212169144,0.633700321
8,SONITPUR,0.734245495,0.133690986,0.13206352
9,LAKHIMPUR,0.243014219,0.13419875,0.622787031
10,DHEMAJI,0.076809359,0.302362928,0.620827713
11,MARIGAON,0.173614323,0.193259783,0.633125893
12,NAGAON,0.578032778,0.421967222,0
13,GOLAGHAT,0.271052906,0.113131417,0.615815677
14,JORHAT,0.29212674,0.098758493,0.609114767
15,SIBSAGAR,0.324466565,0.079761747,0.595771688
16,DIBRUGARH,0.475249764,0.013274449,0.511475787
17,TINSUKIA,0.475005403,0.013486755,0.511507842
18,KARBI ANGLONG,0.187441241,0.180048098,0.632510661
19,KARIMGANJ,0.338973455,0.072564089,0.588462456
20,HAILAKANDI,0.055339899,0.335656902,0.609003199
21,CACHAR,0.693985391,0.037459098,0.268555511
22,Baksa,0.186966486,0.180280935,0.632752579
23,Dima Hasao,0.003883875,0.460486179,0.535629946
24,Udalguri,0.123223664,0.244591875,0.632184461
25,Kamrup Metropolitan,0.380491557,0.051287066,0.568221377
